,text,cleaned_text,extracted_entities
101,"@RepValDemings Save yourself

Head back to DC and report for duty in Congress if it's unsafe in FLA

Ask Gran Nan to bring the 🍨🍨🍨🍨🍨🍨

B💥💥M"," Save yourself

Head back to DC and report for duty in Congress if it's unsafe in FLA

Ask Gran Nan to bring the 

BM",
102,@RepValDemings @BradleyWhitford He Fleeced the country out of $500B.  Georgia voters stood for 13hrs Tues.Mail in b… https://t.co/uvJo126Pwh,  He Fleeced the country out of $500B.  Georgia voters stood for 13hrs Tues.Mail in b… ,"[('Georgia', 'LOCATION')]"
103,"@RepValDemings But you’re ok with the protesters, rioters , and looters, right?"," But you’re ok with the protesters, rioters , and looters, right?",
104,"@RepValDemings Of course!  Rioters and looters are immune to Covid even when sharing rocks, bricks, and touching co… https://t.co/MDZGe8dTMQ"," Of course!  Rioters and looters are immune to Covid even when sharing rocks, bricks, and touching co… ","[('Covid', 'VIRUS')]"
105,@RepValDemings Is it okay if I go to a Trump rally to riot?, Is it okay if I go to a Trump rally to riot?,"[('Trump', 'CANDIDATE')]"
106,"RT @OCCC: 🍊 Today, the OCCC presented its Recovery and Resiliency Plan to @OrangeCoFL Economic Recovery Task Force. Following a three prong…","  Today, the OCCC presented its Recovery and Resiliency Plan to  Economic Recovery Task Force. Following a three prong…",
107,@RepValDemings Okay hypocrite., Okay hypocrite.,
108,@RepValDemings @nelson_luanne Clear as can be.,  Clear as can be.,
109,@RepValDemings If Covid- 19 is so dangerous...why would you be so worried...the Republicans May lose some votes when they get so sick., If Covid- 19 is so dangerous...why would you be so worried...the Republicans May lose some votes when they get so sick.,"[('Covid', 'VIRUS')]"
110,@RepValDemings Where is your quote telling rioters to go home it is not save? Produce it or sit down., Where is your quote telling rioters to go home it is not save? Produce it or sit down.,
111,@RepValDemings You got that right https://t.co/jbqFPxop13, You got that right ,
112,@RepValDemings Scared much?, Scared much?,
113,@RepValDemings Shut up, Shut up,
114,@RepValDemings You are a special case of stupid if you think riots are ok but rallies are not. We see through your idiotic schemes., You are a special case of stupid if you think riots are ok but rallies are not. We see through your idiotic schemes.,
115,@RepValDemings Thanks to who?   Could this be the rioters?   or they did not riot long enough so now you need this back., Thanks to who?   Could this be the rioters?   or they did not riot long enough so now you need this back.,
116,@RepValDemings What a hypocrite!!! We’ll just call it a protest... feel better?, What a hypocrite!!! We’ll just call it a protest... feel better?,
117,"@RepValDemings This is a fun game....Looting, burning down cities, and mass protests as well experience a pandemic… https://t.co/QHJ8pOqqF5"," This is a fun game....Looting, burning down cities, and mass protests as well experience a pandemic… ",
118,@RepValDemings Your a racist and a lying idiot!, Your a racist and a lying idiot!,
119,"@RepValDemings Start by addressing the black-on-black crime in ""your communities"" which killed more black people th… https://t.co/iqQXhYfJLS"," Start by addressing the black-on-black crime in ""your communities"" which killed more black people th… ",
120,"@RepValDemings Oh well, it wasn't yesterday so don't think your little
  double talk will stop the rallies, they'll… https://t.co/u5LFrpEYU4"," Oh well, it wasn't yesterday so don't think your little
  double talk will stop the rallies, they'll… ",
121,@RepValDemings You’ll be alright... did you express this concern over #GeorgeFloyd protests/riots?  You would at le… https://t.co/gd2TTJC5u3, You’ll be alright... did you express this concern over  protests/riots?  You would at le… ,
